dataset,area,sex,ICCC,graph,year,age_group,measure,value_text
CYPC,British Columbia,1,22,L,2023,D,1,<5
CYPC,British Columbia,1,22,L,2023,D,2,5
CYPC,British Columbia,1,22,L,2023,D,3,
CYPC,British Columbia,1,22,L,2023,D,4,7.76
CYPC,British Columbia,1,22,L,2023,E,1,<5
CYPC,British Columbia,1,22,L,2023,E,2,10
CYPC,British Columbia,1,22,L,2023,E,3,
CYPC,British Columbia,1,22,L,2023,E,4,14.94
CYPC,British Columbia,1,22,L,2023,S,1,5
CYPC,British Columbia,1,22,L,2023,S,2,15
CYPC,British Columbia,1,22,L,2023,S,5,12.96
CYPC,British Columbia,1,22,L,2023,S,6,8.4
CYPC,British Columbia,1,23,L,2023,B,1,<5
CYPC,British Columbia,1,23,L,2023,B,2,<5
CYPC,British Columbia,1,23,L,2023,B,3,
CYPC,British Columbia,1,23,L,2023,B,4,
CYPC,British Columbia,1,23,L,2023,C,1,<5
CYPC,British Columbia,1,23,L,2023,C,2,<5
CYPC,British Columbia,1,23,L,2023,C,3,
CYPC,British Columbia,1,23,L,2023,C,4,
CYPC,British Columbia,1,23,L,2023,D,1,<5
CYPC,British Columbia,1,23,L,2023,D,2,<5
CYPC,British Columbia,1,23,L,2023,D,3,
CYPC,British Columbia,1,23,L,2023,D,4,
CYPC,British Columbia,1,23,L,2023,E,1,<5
CYPC,British Columbia,1,23,L,2023,E,2,<5
CYPC,British Columbia,1,23,L,2023,E,3,
CYPC,British Columbia,1,23,L,2023,E,4,
CYPC,British Columbia,1,23,L,2023,S,1,<5
CYPC,British Columbia,1,23,L,2023,S,2,10
CYPC,British Columbia,1,23,L,2023,S,5,
CYPC,British Columbia,1,23,L,2023,S,6,3.68
CYPC,British Columbia,1,24,L,2023,B,1,<5
CYPC,British Columbia,1,24,L,2023,B,2,<5
CYPC,British Columbia,1,24,L,2023,B,3,
CYPC,British Columbia,1,24,L,2023,B,4,
CYPC,British Columbia,1,24,L,2023,C,1,<5
CYPC,British Columbia,1,24,L,2023,C,2,<5
CYPC,British Columbia,1,24,L,2023,C,3,
CYPC,British Columbia,1,24,L,2023,C,4,
CYPC,British Columbia,1,24,L,2023,D,1,<5
CYPC,British Columbia,1,24,L,2023,D,2,<5
CYPC,British Columbia,1,24,L,2023,D,3,
CYPC,British Columbia,1,24,L,2023,D,4,
CYPC,British Columbia,1,24,L,2023,E,1,<5
CYPC,British Columbia,1,24,L,2023,E,2,<5
CYPC,British Columbia,1,24,L,2023,E,3,
CYPC,British Columbia,1,24,L,2023,E,4,
CYPC,British Columbia,1,24,L,2023,S,1,<5
CYPC,British Columbia,1,24,L,2023,S,2,5
CYPC,British Columbia,1,24,L,2023,S,5,
CYPC,British Columbia,1,24,L,2023,S,6,3.19
CYPC,British Columbia,1,25,L,2023,B,1,<5
CYPC,British Columbia,1,25,L,2023,B,2,<5
CYPC,British Columbia,1,25,L,2023,B,3,
